X,Y,Z
243434.341,1717584.588,392.872
243434.341,1717587.088,390.372
243434.341,1717587.088,392.872
243436.841,1717584.588,390.372
243436.841,1717584.588,392.872
243436.841,1717587.088,390.372
243436.841,1717587.088,392.872
243439.341,1717579.588,385.372
243439.341,1717579.588,387.872
243439.341,1717582.088,385.372
243439.341,1717582.088,387.872
243441.841,1717579.588,385.372
243441.841,1717579.588,387.872
243441.841,1717582.088,385.372
243441.841,1717582.088,387.872
243439.341,1717579.588,390.372
243439.341,1717579.588,392.872
243439.341,1717582.088,390.372
243439.341,1717582.088,392.872
243441.841,1717579.588,390.372
243441.841,1717579.588,392.872
243441.841,1717582.088,390.372
243441.841,1717582.088,392.872
243439.341,1717584.588,385.372
243439.341,1717584.588,387.872
243439.341,1717587.088,385.372
243439.341,1717587.088,387.872
243441.841,1717584.588,385.372
243441.841,1717584.588,387.872
243441.841,1717587.088,385.372
243441.841,1717587.088,387.872
243439.341,1717584.588,390.372
243439.341,1717584.588,392.872
243439.341,1717587.088,390.372
243439.341,1717587.088,392.872
243441.841,1717584.588,390.372
243441.841,1717584.588,392.872
243441.841,1717587.088,390.372
243441.841,1717587.088,392.872
243444.341,1717574.588,382.872
243444.341,1717577.088,382.872
243446.841,1717574.588,382.872
